NAME                                                                          VERSION                                            TYPE                       
1to2                                                                          1.0.0                                              npm                         
@kasmtech/novnc                                                               1.3.0                                              npm                         
@socket.io/component-emitter                                                  3.1.2                                              npm                         
@types/cookie                                                                 0.4.1                                              npm                         
@types/cors                                                                   2.8.17                                             npm                         
@types/node                                                                   20.12.12                                           npm                         
accepts                                                                       1.3.8                                              npm                         
alpine-baselayout                                                             3.4.3-r1                                           apk                         
alpine-baselayout-data                                                        3.4.3-r1                                           apk                         
alpine-keys                                                                   2.4-r1                                             apk                         
alpine-release                                                                3.18.6-r0                                          apk                         
alsa-lib                                                                      1.2.9-r1                                           apk                         
ansi-styles                                                                   4.3.0                                              npm                         
aom-libs                                                                      3.6.1-r0                                           apk                         
apk-tools                                                                     2.14.4-r0                                          apk                         
array-flatten                                                                 1.1.1                                              npm                         
async                                                                         3.2.5                                              npm                         
avahi-libs                                                                    0.8-r13                                            apk                         
balanced-match                                                                1.0.2                                              npm                         
base64id                                                                      2.0.0                                              npm                         
bash                                                                          5.2.15-r5                                          apk                         
bindings                                                                      1.5.0                                              npm                         
body-parser                                                                   1.20.2                                             npm                         
brace-expansion                                                               1.1.11                                             npm                         
brace-expansion                                                               2.0.1                                              npm                         
brotli-libs                                                                   1.0.9-r14                                          apk                         
busybox                                                                       1.36.1-r5                                          apk                         
busybox-binsh                                                                 1.36.1-r5                                          apk                         
bytes                                                                         3.1.2                                              npm                         
c-ares                                                                        1.19.1-r1                                          apk                         
ca-certificates                                                               20240226-r0                                        apk                         
ca-certificates-bundle                                                        20240226-r0                                        apk                         
cairo                                                                         1.17.8-r1                                          apk                         
cairo-gobject                                                                 1.17.8-r1                                          apk                         
call-bind                                                                     1.0.7                                              npm                         
catatonit                                                                     0.1.7-r0                                           apk                         
cdparanoia-libs                                                               10.2-r14                                           apk                         
chalk                                                                         4.1.2                                              npm                         
cjson                                                                         1.7.17-r0                                          apk                         
cloud.google.com/go/compute/metadata                                          v0.2.1                                             go-module                   
cloud.google.com/go/compute/metadata                                          v0.2.3                                             go-module                   
cloud.google.com/go/logging                                                   v1.7.0                                             go-module                   
cloud.google.com/go/longrunning                                               v0.5.1                                             go-module                   
code.cloudfoundry.org/clock                                                   v1.1.0                                             go-module                   
color-convert                                                                 2.0.1                                              npm                         
color-name                                                                    1.1.4                                              npm                         
concat-map                                                                    0.0.1                                              npm                         
containerd                                                                    1.7.2-r4                                           apk                         
content-disposition                                                           0.5.4                                              npm                         
content-type                                                                  1.0.5                                              npm                         
cookie                                                                        0.4.2                                              npm                         
cookie                                                                        0.6.0                                              npm                         
cookie-signature                                                              1.0.6                                              npm                         
coreutils                                                                     9.3-r2                                             apk                         
cors                                                                          2.8.5                                              npm                         
cups                                                                          2.4.7-r0                                           apk                         
cups-client                                                                   2.4.7-r0                                           apk                         
cups-libs                                                                     2.4.7-r0                                           apk                         
cups-pdf                                                                      3.0.1-r2                                           apk                         
curl                                                                          8.5.0-r0                                           apk                         
dario.cat/mergo                                                               v1.0.0                                             go-module                   
dbus                                                                          1.14.8-r0                                          apk                         
dbus-daemon-launch-helper                                                     1.14.8-r0                                          apk                         
dbus-libs                                                                     1.14.8-r0                                          apk                         
dbus-x11                                                                      1.14.8-r0                                          apk                         
debug                                                                         2.6.9                                              npm                         
debug                                                                         4.3.4                                              npm        (+3 duplicates)  
define-data-property                                                          1.1.4                                              npm                         
depd                                                                          2.0.0                                              npm                         
destroy                                                                       1.2.0                                              npm                         
docker                                                                        25.0.5-r0                                          apk                         
docker-cli                                                                    25.0.5-r0                                          apk                         
docker-cli-buildx                                                             0.10.4-r10                                         apk                         
docker-cli-compose                                                            2.17.3-r8                                          apk                         
docker-engine                                                                 25.0.5-r0                                          apk                         
ee-first                                                                      1.1.1                                              npm                         
ejs                                                                           3.1.10                                             npm                         
encodeurl                                                                     1.0.2                                              npm                         
engine.io                                                                     6.5.4                                              npm                         
engine.io-parser                                                              5.2.2                                              npm                         
es-define-property                                                            1.0.0                                              npm                         
es-errors                                                                     1.3.0                                              npm                         
escape-html                                                                   1.0.3                                              npm                         
etag                                                                          1.8.1                                              npm                         
eudev-libs                                                                    3.2.11-r8                                          apk                         
express                                                                       4.19.2                                             npm                         
ffmpeg                                                                        6.0.1-r0                                           apk                         
ffmpeg-libavcodec                                                             6.0.1-r0                                           apk                         
ffmpeg-libavdevice                                                            6.0.1-r0                                           apk                         
ffmpeg-libavfilter                                                            6.0.1-r0                                           apk                         
ffmpeg-libavformat                                                            6.0.1-r0                                           apk                         
ffmpeg-libavutil                                                              6.0.1-r0                                           apk                         
ffmpeg-libpostproc                                                            6.0.1-r0                                           apk                         
ffmpeg-libswresample                                                          6.0.1-r0                                           apk                         
ffmpeg-libswscale                                                             6.0.1-r0                                           apk                         
fftw-single-libs                                                              3.3.10-r2                                          apk                         
